
Command,Description
-save_options=use_gzip,Uses the gzip compressor for Save/Restore's memory snapshot.
-save_options=use_lz4,Uses the lz4 compressor for Save/Restore's memory snapshot.
-save_uncompressed,Stores Save/Restore's memory snapshot in an uncompressed form.
-sig program,Starts the program that displays the compile-time options that were on the VCS command line when you created the simv (or simv.exe) executable file.
-ucli,Starts the simulation from the UCLI prompt.
-ucli -ucli2Proc,Launch UCLI in its own process (default:thread).
+vcs+finish+time,"Enables you to specify when VCS either stops or ends the simulation, provided that the time value is less than 2^32."
+vcs+ignorestop,Tells VCS to ignore the $stop system tasks in your source code.
+vcs+initreg+0|1|,"Initializes all bits of the Verilog variables, registers defined in random|seed_value           sequential UDPs, and memories including multi-dimensional arrays (MDAs) in your design to the specified values at time zero."
+vcs+initreg+config+confi,"Specifies a configuration file for initializing Verilog variables, g_file                        registers defined in sequential UDPs, and memories including multi-dimensional arrays (MDAs) in your design at time zero."
+vcs+nostdout,"Disables all text output from VCS, including messages and text from $monitor and $display and other system tasks for only the Verilog portion of the design."
+vcs+stop+time,Enables you to specify the simulation time when VCS stops the simulation.
-xlrm gd_pulseprop,"VCS propagates a gate pulse, even when the pulse width is equal to the gate delay."
-xlrm gd_pulsewarn,VCS generates a warning when it detects that the width of a pulse is identical to the gate delay.
-xlrm hier_inst_seed,"Uses instance-specific initialization seeds for random number generators of modules, programs, interfaces, and packages. -a filename Specifies writing all messages from simulation to the specified file as well as displaying these messages on the standard output. It also appends to an existing log file (including messages about snapshot restore). Usage % simv -a filename Example Consider the following example: module top; initial begin $display(""Step 1""); #1; $display(""Step 2""); $save(""state""); #1; $display(""Step 3""); #1; $display(""Step 4""); end endmodule To run the example, use the following commands: vcs -full64 top.v simv -a simv.log simv -r state -a simv.log The running of these commands generates the generates the following output: After restore, simv.log contains the following: • All entries from the save run (until it finishes; not just until the point of save) • From the restore run. • $ cat simv.log Step 1 Step 2 Step 3 Step 4 Step 3 Step 4 -daidir=/path/to/simv.daidir Specifies the path to the simv.daidir directory in case it has been moved. simv and simv.daidir are moved to DIR2, and the simulation is restored in DIR3. Usage % simv -daidir=/path/to/simv.daidir Example Consider the following example: module top; initial begin #1; $display(""Step 1""); #1; $save(""state""); #1; $display(""Step 2""); #1; $finish(); end endmodule To run the example, use the following commands: mkdir dir1 dir2 dir3 # Compile and save in dir1. cd dir1 vcs -full64 ../top.v -debug_access simv # Move simv to dir2. mv simv* csrc ../dir2 # Restore in dir3. cd ../dir3 ../dir2/simv -r ../dir1/state -daidir=../dir2/simv.daidir Restore run requires -daidir switch to find the moved simv.daidir directory. -error Revises the +lint and +warn options, to control error and warning messages. With them you can: • Disable the display of any lint, warning, or error messages. • Disable the display of specific messages. • Limit the display of specific messages to a maximum number that you specify. Only the following feature is supported at runtime. -error=[no]message_ID[:max_number],... Usage % simv -error=[no]message_ID[:max_number],... Example Consider the following example: Error-[INFL_SIM] Infinite loop in simulation Detected an infinite loop in the simulation at time 0. -xlrm hier_inst_seed example: module top (); son son1 (); son son2 (); son son3 (); endmodule module son (); initial $display(""%m SEED = %d"", $urandom()); endmodule %simv     -xlrm hier_inst_seed top.son1 SEED = 2384297078 top.son2 SEED = 3389395885 top.son3 SEED = 1089914581 If you pass an empty assert hier file at compile-time or runtime, VCS generates the CM- ASHR-EF error. with -error=noCM-ASHR-EF at run time it can be coverted as a warning Warning-[CM-ASHR-EF] Empty file The assertion hier control configuration file 'tmp.txt' is empty and hence it will be ignored. Please fix the file and try again. -exitstatus Returns a value based on the type of exit. Usage % simv -exitstatus Example module test; reg r = 1'b0;; initial begin r = 1; assert (r==0); end endmodule vcs test.v simv -exitstauts echo $status -f Enables you to specify user-defined arguments in a file. These arguments are those that VHDL, and pure Verilog designs. Usage % simv -f <filename.f> Example % simv -f <filename.f> filename.f -ova_report -lca -cm_name foo ... ... -force_list Enables the force reporting feature and generates an ASCII text file containing information about the forces/deposits/releases applied during the simulation in time order. Usage % simv -force_list <filename> Where, filename is the user-defined ASCII file name. It can be a relative path or an absolute path. Compression is disabled by default. Use the -force_list_compress is saved with the same name, but changes its filename extension by appending .gz at the end of it. Example % simv -force_list report.log -force_list_compress For the above command, the output file is: report.log.gz Use gunzip to uncompress a force list file. For example, uncompress the above output file as follows: gunzip report.log.gz This results in the original file report.log, which is uncompressed. -force_list_hier <list_file> Generates a force list report for the desired instance hierarchies in the design. Usage % simv -force_list_hier <list_file> Where, <list_file> is the configuration file. This file allows you to specify the hierarchy and levels of hierarchy to be dumped in the resultant -force_list output file. Note: To use this feature, you must first compile your designs with the -force_list Examples Example 1 module tb(); reg r; wire oA, oB; dut dut(r, oA, oB); initial begin r = 0; #10 force tb.dut.instA.oA = 1; #10 force tb.dut.instA.instB.oB = 1; end endmodule module dut(input r, output oA, oB); A instA(r, oA, oB); endmodule module A(input r, output oA, oB); assign oA = r; B instB(r, oB); endmodule module B(input r, output oB); assign oB = r; endmodule Example 2 +tb.dut.instA 1 Compile test.v as follows: % vcs -debug_access -sverilog -force_list test.v Simulation command: % simv -force_list=uniqueID forceReport.txt -force_list_hier hierarchyConfig.cfg The following is the forceReport.txt output: VCS Force List Header Section Language Forces ID    Target     Module      File Line 1 tb.dut.instA.oA tb test.v 7 Event List Section"
----,"Time: 10 ---- 1       LF 'b1 -frames Controls the number of lines printed in the stack. Usage % simv -frames <num> Where <num> specifies the number of lines in the stack. When <num> is zero, VCS displays all the lines in the stack. Example simv -frames 0 -g, -gen, -generics Changes the following types of VHDL generics at runtime: • Any generic that stays in VHDL and is not propagated directly or indirectly into Verilog • Any generic that does not shape the tree or define the widths of ports through mixed HDL boundary • Generics such as delays, file names, and timing checks control Usage % simv -g generics_file Example specify the hierarchical path of the generic and a new value to override. A sample generics_file is as follows: % cat generics_file assign 1 /TOP/LEN assign ""OK.dat"" /TOP/G1/vhdl1/FILE_NAME assign (4 ns) /TOP/G1/VHDL1/delay assign 16 /TOP/width assign 4 /TOP/add_width -gui Invokes simulation in interactive mode using Verdi. Usage % simv -gui You must use the same version of VCS and Verdi to ensure problem-free debugging of your simulation. Example Consider the following example: module top; initial begin $display(""Step 1""); #1; $display(""Step 2""); #1; $display(""Step 3""); #1; $display(""Step 4""); end endmodule To run the example, use the following commands: vcs -full64 -debug_access+all -kdb top.v simv -gui The -gui switch starts the simulation under a graphical debugger for interactive analysis. +ignorempcond VCS supports delayed annotations when multiple inputs change simultaneously. It ignores condition checking and inserts the least delay from applicable delays. When multiple inputs change simultaneously, they create an impact on a specific output signal. If there are no matching conditional arcs that extend from the inputs (which are toggling) to the output, then VCS does not annotate a zero delay. Usage % simv +ignorempcond Example Consider the following example: module top(); reg in1,in2; wire out; dut inst(.out(out),.in1(in1),.in2(in2)); initial begin $monitor(""TIme:%0t out:%0b in1:%0b in2:%0b"",$time,out,in1,in2); in1=0; in2=0; end endmodule module dut(output out,input in1,in2); assign out =in1& in2; specify if(in1==1'b1) (in2=>out)=3; if(in2==1'b1) (in1=>out)=4; endspecify endmodule vcs test.v simv +ignorempcond Output TIme:0 out:x in1:0 in2:0 TIme:3 out:0 in1:0 in2:0 -io_gz Reads files that are compressed using the gzip. Usage % simv -io_gz Example This example shows how the utility is used to read a gzipped file. module m1; integer mcd,code,code1,mcd1; string str; initial begin mcd = $fopen(""test_file.txt"",""w""); $fwrite (mcd,""%s"",""\nThis is VCS test file\n""); $fclose(mcd); $system(""gzip test_file.txt""); mcd = $fopen(""test_file.txt.gz"",""r""); do begin code = $fgets(str,mcd); $display(""%s"",str); end while($feof(mcd)==0); $fclose(mcd); end endmodule You can use the following commands to run the test case. vcs -sverilog test.v simv -io_gz Output This is a VCS test file. -l filename Specifies writing all messages from simulation to the specified file as well as displaying these messages on the standard output. Usage % simv -l filename Example Consider the following example: module top; initial begin $display(""Step 1""); #1; $display(""Step 2""); $save(""state""); #1; $display(""Step 3""); #1; $display(""Step 4""); end endmodule To run the example, use the following commands: vcs -full64 top.v simv -l simv.log simv -r state -l simv.log After restore, simv.log contains only entries from restore run: $ cat simv.log > Step 3 > Step 4 +maxdelays Specifies using the maximum delays in min:typ:max delay triplets in module path delays specifies using the maximum timing delays in min:typ:max delay triplets in an uncompiled SDF file. +allmtm+allmtm[allmtm] specifies using the compiled SDF file with the maximum delays. +override_model_delays+override_model_delays[override_model_delays] Usage % simv +maxdelays Example Consider the following example: timescale 1ns/1ns module top; reg in; wire out; dut inst(.out(out),.in(in)); initial begin $monitor(""Time:%2t in:%0b out:%0b"",$time,in,out); $sdf_annotate(""gate.sdf"",top); in = 1'b0; #15 in = 1'b1; end endmodule module dut(output out,input in); buf (out,in); specify (in => out) = (1,1); endspecify endmodule (CELL (CELLTYPE ""dut"") (INSTANCE inst) (DELAY (ABSOLUTE (IOPATH in out (2:3:4) (2:3:4)) ) ) ) Output Time: 0 in:0 out:x Time: 4 in:0 out:0 Time:15 in:1 out:0 Time:19 in:1 out:1 +mindelays Specifies using the minimum delays in min:typ:max delay triplets in module path delays +allmtm+allmtm[allmtm] specifies using the minimum timing delays in min:typ:max delay triplets in an uncompiled SDF file. specifies using the compiled SDF file with the minimum delay. Usage % simv +mindelays Example Consider the following example: timescale 1ns/1ns module top; reg in; wire out; dut inst(.out(out),.in(in)); initial begin $monitor(""Time:%2t in:%0b out:%0b"",$time,in,out); $sdf_annotate(""gate.sdf"",top); in = 1'b0; #15 in = 1'b1; end endmodule module dut(output out,input in); buf (out,in); specify (in => out) = (1,1); endspecify endmodule (CELL (CELLTYPE ""dut"") (INSTANCE inst) (DELAY (ABSOLUTE (IOPATH in out (2:3:4) (2:3:4)) ) ) ) Output Time: 0 in:0 out:x Time: 2 in:0 out:0 Time:15 in:1 out:0 Time:17 in:1 out:1 +no_pulse_msg Suppresses pulse error messages, however, not the generation of StE values at module path outputs when a pulse error condition occurs. Usage % simv +no_pulse_msg Example Consider the following example: vcs test.v +transport_path_delays +pulse_r/30 +pulse_e/80 simv +no_pulse_msg timescale 1ns/1ps module top; reg in; wire out; dut inst1(.out(out),.in(in)); initial begin $monitor(""Time:%5t in:%0b out:%0b "",$time,in,out); $sdf_annotate(""gate.sdf"",top); in = 1'b0; #15 in = 1'b1; #3 in = 1'b0; #15 $finish(); end endmodule module dut(output out,input in); buf (out,in); specify (in => out) = (0,0); endspecify endmodule (CELL (CELLTYPE ""dut"") (INSTANCE inst1) (DELAY (ABSOLUTE (IOPATH in out (2:5:6) (2:5:6)) ) ) ) Output Time:    0 in:0 out:x Time: 5000 in:0 out:0 Time:15000 in:1 out:0 Time:18000 in:0 out:0 Time:20000 in:0 out:x Time:23000 in:0 out:0 -no_save Deactivates the Save/Restore functionality (thereby avoiding, for example, process restarts that would be necessary to prepare for Save/Restore). Usage % simv -no_save Example Consider the following example: module top; initial begin $display(""Step 1""); #1; $display(""Step 2""); #1; $display(""Step 3""); #1; $display(""Step 4""); end endmodule To run the example, use the following commands: vcs -full64 top.v simv -no_save -noscanopt Avoids re-compilation of the design. Usage % simv -noscanopt Example simv -noscanopt -novitaltiming Enables functional-only simulation of VITAL components. All timing information is discarded for VITAL models during simulation. Timing information includes wire delays, path delays, and timing checks. Any SDF information supplied on the command line is ignored when this switch is present. Usage % simv -novitaltiming Example simv -novitaltiming –ova_enable_case_maxfail Includes OVA case violations in computation of global failure count for the -assert Usage % simv -ova_enable_case_maxfail Example module top; reg [2:0] mda[31:0][31:0]; reg [2:0] testdetect[31:0][31:0]; bit i,j; //ova full_case on; initial begin for(i = 31; i >= 0; i = i - 1) begin for(j = 0; j <= 31; j = j + 1) begin case(mda[i][j]) 1: begin testdetect[i][j] = 1'b1; end endcase #1; end end end vcs -sverilog -full64 test.v -ova_enable_case simv -ova_enable_case_maxfail -assert global_finish_maxfail=1 Output Ova [0]: ""test.v"", 9: Full case violation at time 0 in top Select expression value when violation happend: 32'b00000000000000000000000000000xxx Warning-[OVART-NAFRLTS] Too many assertion failures. The OVA run-time detected that the number of assertion failures has reached the maximum allowed limit (1). Terminating simulation. Please verify that you are not using the options setting the limit too low +override_model_delays +mindelays[mindelays]+mindelays +typdelays[typdelays]+typdelays +maxdelays[maxdelays]+maxdelays timing used by SWIFT SmartModels. SWIFT SmartModels Usage % simv +override_model_delays Example simv +override_model_delays -pathmap Specifies a translation table for file paths from the saved simulation to the restored simulation if files have been moved. Usage % simv -pathmap <file_with_pathmaps> where, <file_with_pathmaps>: <old_directory_path_name>:<new_directory_path_name> Example Consider the following example: module top; integer fid, ret; string str; initial begin fid = $fopen(""input.txt"", ""r""); #1; $save(""state""); #1; ret = $fgets(str, fid); if (ret == 0) begin $display(""Failed to read file.""); end else begin $display(""Read: %s"", str); end #1; $fclose(fid); end endmodule To run the example, use the following commands: mkdir dir1 dir2 vcs -full64 -sverilog top.v cd dir1 ../simv mv input.txt ../dir2 ../simv -r state -pathmap pathmap.txt The restore simulation needs the -pathmap switch that maps from the absolute path of dir1 to the absolute path of dir2 to successfully find the moved input.txt file. +plus-options $test$plusargs system task can check for such options. Usage % simv +plus-options Example Consider the following example: module test; initial begin if($test$plusargs(""HELLO"")) begin $display(""Hello""); end end endmodule vcs test.v [other_vcs_options] simv +HELLO -q Quiet mode; suppresses display of VCS header and summary information. Suppresses the proprietary message at the beginning of simulation and suppresses the VCS Simulation Report at the end (time, CPU time, data structure size, and date). Suppresses SystemC BMI warnings and notes at the start of simulation. Usage % simv -q Example Consider the following example: example: module test; initial $display(""Hello""); endmodule vcs test.v simv -q Output Hello -save Saves all files open for writing (default behavior). All these files are saved in the directory named: <name_of_the_saved_image>.FILES. Usage % simv -save Example Consider the following example: module top; initial begin $display(""Step 1""); #1; $display(""Step 2""); $save(""state""); #1; $display(""Step 3""); #1; $display(""Step 4""); end endmodule To run the example, use the following commands: vcs -full64 top.v simv -save simv -r state Since $save is used, ""-save"" can be passed to simv (default behavior). Simulation output after restore: > Step 3 > Step 4 -save_closed_files Saves and restores the files that are created and closed using Verilog system tasks before saving the simulation state. Usage % simv -save_closed_files Example Consider the following example: module top; integer fid; initial begin $display(""Step 1""); fid = $fopen(""tmp.txt"", ""w""); $fdisplay(fid, ""OUTPUT""); $fclose(fid); $display(""Step 2""); $save(""state""); #1; $display(""Step 3""); end endmodule To run the example, use the following commands: vcs -full64 top.v simv -save_closed_files rm tmp.txt simv -r state The running of these commands restores the tmp.txt file, which has already been closed at the point of save but is included in the snapshot. -save_file <file name> | <directory name> Saves all open files in writable mode, and all files that are opened in read-only mode, • With <file name>, saves the specified open file in read/write mode. • With <directory name>, saves all files in the specified directory open in read/write mode. Usage % simv -save_file <file name> | <directory name> Example Consider the following example: module top; integer fid; string str; initial begin fid = $fopen(""input.txt"", ""r""); $display(""Step 1""); #1; $display(""Step 2""); $save(""state""); #1; $display(""Step 3""); #1; $display(""Step 4""); $fclose(fid); end endmodule To run the example, use the following commands: vcs -full64 -sverilog top.v simv -save_file input.txt With the switch we see that the file mentioned with switch -save_file is saved as well when the snapshot is saved: Step 1 Step 2 Info: [VCS_SAVE_RESTORE_INFO] Saved / global/vcs_rnd02/magnusb/vcs_regrs/x64/sr_cmd_ref_guide_examples/summa ry/save_file/input.txt at state.FILES/11.input.txt . Step 3 Step 4 -save_file_skip <file name> | <directory name> • With <file name>, skips saving the specified file that is open in read/write mode. • With <directory name>, skips all files in the specified directory that are open in read/ write mode. Usage % simv -save_file_skip <file name> | <directory name> Example Consider the following example: module top; integer fid; initial begin fid = $fopen(""tmp.txt"", ""w""); $fdisplay(fid, ""OUTPUT_1""); #1; $save(""state""); #1; $fdisplay(fid, ""OUTPUT_2""); #1; $fclose(fid); end endmodule To run the example, use the following commands: vcs -full64 top.v simv -save_file_skip tmp.txt rm -f tmp.txt simv -r state A save run with switch ""-save_file_skip tmp.txt"" will exclude the opened file from the snapshot. -save_options=continue_log -l simv.log Continues writing to the log file to provide a coherent log of the full execution, which contains entries from the simulation before save and from after restore but no messages about the snapshot restore itself. Usage % simv -save_options=continue_log -l simv.log Example Consider the following example: module top; initial begin $display(""Step 1""); #1; $display(""Step 2""); $save(""state""); #1; $display(""Step 3""); #1; $display(""Step 4""); end endmodule To run the example, use the following commands: vcs -full64 top.v simv -l simv.log -save_options=continue_log simv -r state -l simv.log -save_options=continue_log After restore, simv.log contains log entries from the following: • Save simulation up to the point of save • Restore simulation. • $ cat simv.log > Step 1 > Step 2 > Step 3 > Step 4 -save_options=skip_zero_bytes Handles snapshots with a lot of 0-bytes more efficiently. Try this if the memory usage of the restored simulation is much larger than that of the simulation before save. Usage % simv -save_options=skip_zero_bytes Example Consider the following example: top.v import ""DPI"" function void alloc_sparsely_populated_mem();//Defined in dpi.cxx module top; initial begin #1; $display(""Step 1""); alloc_sparsely_populated_mem(); #1; $save(""state""); #1; $display(""Step 2""); $finish(); end endmodule To run the example, use the following commands: vcs -full64 -sverilog top.v dpi.cxx simv time -f 'Peak RMEM usage in KB: %M' simv -r state # vs. simv -save_options=skip_zero_bytes time -f 'Peak RMEM usage in KB: %M' simv -r state In the restore run with the switch, peak memory usage is reduced since the sparsely populated memory is handled more efficiently. -save_options=use_gzip Uses the gzip compressor for Save/Restore's memory snapshot. Usage % simv -save_options=use_gzip Example Click Example to learn more. -save_options=use_lz4 Uses the lz4 compressor for Save/Restore's memory snapshot. Usage % simv -save_options=use_lz4 Example Click Example to learn more. -save_options=save_immediately Verilog’s $save and the UCLI save commands do not save a snapshot directly but schedule it for the end of the current timestep. This forces the user to advance simulation save behavior,as a result of which, s state can be saved immediately - even in the middle of a time step, without the need to schedule it. Usage -save_options=save_immediately -save_uncompressed Stores Save/Restore's memory snapshot in an uncompressed form. Usage % simv -save_uncompressed Example Consider the following example: module top; initial begin $display(""Step 1""); #1; $display(""Step 2""); $save(""state""); #1; $display(""Step 3""); #1; $display(""Step 4""); end endmodule To run the example, use the following commands: vcs -full64 top.v # simv -save_options=use_lz4 # simv -save_options=use_gzip simv -save_uncompressed simv -r state If compression selected, the memory snapshot is compressed to state.FILES/ mmap.data.compressed. In the uncompressed case, the memory snapshot is stored in ""state"". +sdfverbose Enables the display of all back-annotation messages. Usage % simv +sdfverbose Example Consider the following example: vcs test.v [other_vcs_options] simv +sdfverbose module top; reg d,clk; wire q; dut inst(.q(q),.d(d),.clk(clk)); initial begin $monitor(""Time:%2t clk:%0b q:%0b inst.notifier:%0b"",$time,clk,q,inst.notifier); $sdf_annotate(""test.sdf"",top,,""sdf.log"",""MAXIMUM""); d <= 1'b0; clk = 0; #8 d <= 1'b0; #6.8 d <= 1'b1; #10 $finish(); end always #5 clk = ~clk; endmodule module dut(output reg q,input d,clk); reg notifier; wire d_d; always @(posedge clk) q <=d; assign cond1 = d; specify (posedge clk => q) = (0,0); $setuphold(posedge clk,d,0.917,-0.2,notifier,,cond1,clk_d,d_d); endspecify endmodule -sig program Starts the program that displays the compile-time options that were on the vcs command line when you created the simv (or simv.exe) executable file. Usage % simv -sig program Example % simv -sig echo echo +typdelays Specifies using the typical delays in min:typ:max delay triplets in module path delays and +allmtm+allmtm[allmtm] specifies using the typical timing delays in min:typ:max delay triplets in an uncompiled SDF file. specifies using the compiled SDF file with the typical delays. in your source code and in uncompiled SDF files unless you specify otherwise with the mtm_spec argument to the $sdf_annotate system task. Also, by default, VCS uses the compiled SDF file with typical values. +override_model_delays+override_model_delays[override_model_delays] Usage % simv +typdelays Example Consider the following example: timescale 1ns/1ns module top; reg in; wire out; dut inst(.out(out),.in(in)); initial begin $monitor(""Time:%2t in:%0b out:%0b"",$time,in,out); $sdf_annotate(""gate.sdf"",top); in = 1'b0; #15 in = 1'b1; end endmodule module dut(output out,input in); buf (out,in); specify (in => out) = (1,1); endspecify endmodule (CELL (CELLTYPE ""dut"") (INSTANCE inst) (DELAY (ABSOLUTE (IOPATH in out (2:3:4) (2:3:4)) ) ) ) Output Time: 0 in:0 out:x Time: 3 in:0 out:0 Time:15 in:1 out:0 Time:18 in:1 out:1 -ucli Starts the simulation from the UCLI prompt. Usage % simv [simv_options] -ucli When you execute the above command, VCS takes you to the UCLI command prompt. time 0 as follows: % simv -ucli ucli% At the UCLI prompt, you can execute any UCLI command to debug or run the simulation. You can also specify the list of required UCLI commands in a file, and source it to the below: % simv -ucli ucli% source file.cmds % simv -ucli -do file.cmds % simv -ucli -i file.cmds Example Consider the following example: module top(); initial begin $display(""Step 1""); #1; $display(""Step 2""); #1; $display(""Step 3""); #1; $display(""Step 4""); #1; $display(""Step 5""); #1; $finish(); end endmodule To run the example, use the following commands: vcs -full64 -debug_access top.v simv -ucli -i run.ucli run.ucli: run 3 quit The running of the commands generates the generates the following output: ucli% run 3 Step 1 Step 2 Step 3 3 s ucli% quit The simulation runs for three timesteps and then exits. -ucli -ucli2Proc Launch UCLI in its own process (default:thread). Usage % simv [simv_options] -ucli -ucli2Proc Example Consider the following example: module top(); initial begin $display(""Step 1""); #1; $display(""Step 2""); #1; $display(""Step 3""); #1; $display(""Step 4""); #1; $display(""Step 5""); #1; $finish(); end endmodule To run the example, use the following commands: vcs -full64 -debug_access top.v simv -ucli -ucli2Proc -i run.ucli The running of the commands generates the generates the following output: ucli% run 3 Step 1 Step 2 Step 3 3 s ucli% quit The simulation runs for three timesteps and then exits. -V Verbose mode; displays VCS version and extended summary information. Displays VCS compile and runtime version numbers, and copyright information, at the start of simulation. Usage % simv -V Example module test; initial $display(""Hello""); endmodule vcs test.v simv -V Output VCS Build Date = May 25 2024 00:42:07 Start run at May 25 17:50 2024 Hello V C S   S i m u l a t i o n   R e p o r t Time: 0 CPU Time:      0.460 seconds;       Data structure size:                 0.0Mb Sat May 25 17:50:38 2024 +vcs+finish+time Enables you to specify when VCS either stops or ends the simulation, provided that the time value is less than 2^32. Usage % simv +vcs+finish+time For time values greater than 2^32, you must follow a special procedure that uses two +vcs+finish+<first argument>+<second argument> Example +vcs+finish+1410065408+2 If you want a time value of 10,000,000,000 (10 billion): 1. Divide the large time value by 2^32. In this example: 2. Narrow down this quotient to the nearest whole number. This whole number is the second argument. In this example, you would narrow down to 2. 3. Multiply 2^32 with the second argument (that is, 2), and then subtract the obtained result from the large time value (that is, subtract 2 X 2^32 from the large time value), as shown below: 10,000,000,000-(2*4,294,967,296)=(1,410,065,408) This difference is the first argument. You now have the first and second argument. Therefore, in this example, to specify +vcs+finish+1410065408+2 +vcs+ignorestop Tells VCS to ignore the $stop system tasks in your source code. Usage % simv +vcs+ignorestop Example Consider the following example: module test; initial begin $display(""Hello""); #1; $stop(); #1; $finish(); end endmodule vcs test.v {other_vcs_options] simv +vcs+ignorestop Output Hello $stop ignored at time 1 $finish called from file ""tmp1.v"", line 7. $finish at simulation time                                    2 +vcs+initreg+0|1|random|seed_value Initializes all bits of the Verilog variables, registers defined in sequential UDPs, and memories including multi-dimensional arrays (MDAs) in your design to the specified values The supported data types are: • reg • bit • integer • int • logic The following table describes the initialization options at runtime:"
+vcs+initreg+0,"Initializes all variables, registers and memories to value 0. | +vcs+initreg+0."
